Team1,Score1,Score2,Team2,Year
Ireland,24,28,New Zealand,2023
England,30,24,Fiji,2023
France,28,29,South Africa,2023
Wales,17,29,Argentina,2023
France,27,13,New Zealand,2023
Italy,52,8,Namibia,2023
Ireland,82,8,Romania,2023
Australia,35,15,Georgia,2023
England,27,10,Argentina,2023
Japan,42,12,Chile,2023
South Africa,18,3,Scotland,2023
Wales,32,26,Fiji,2023
France,27,12,Uruguay,2023
New Zealand,71,3,Namibia,2023
Samoa,43,10,Chile,2023
Wales,28,8,Portugal,2023
Ireland,59,16,Tonga,2023
South Africa,76,0,Romania,2023
Australia,15,22,Fiji,2023
England,34,12,Japan,2023
Italy,38,17,Uruguay,2023
France,96,0,Namibia,2023
Argentina,19,10,Samoa,2023
Georgia,18,18,Portugal,2023
England,71,0,Chile,2023
South Africa,8,13,Ireland,2023
Scotland,45,17,Tonga,2023
Wales,40,6,Australia,2023
Uruguay,36,26,Namibia,2023
Japan,28,22,Samoa,2023
New Zealand,96,17,Italy,2023
Argentina,59,5,Chile,2023
Fiji,17,12,Georgia,2023
Scotland,84,0,Romania,2023
Australia,34,14,Portugal,2023
South Africa,49,18,Tonga,2023
New Zealand,73,0,Uruguay,2023
France,60,7,Italy,2023
Wales,43,19,Georgia,2023
England,18,17,Samoa,2023
Ireland,36,14,Scotland,2023
Japan,27,39,Argentina,2023
Tonga,45,24,Romania,2023
Fiji,23,24,Portugal,2023
Ireland,29,7,Wales,2022
Scotland,20,17,England,2022
France,37,10,Italy,2022
Wales,20,17,Scotland,2022
France,30,24,Ireland,2022
Italy,0,33,England,2022
Scotland,17,36,France,2022
England,23,19,Wales,2022
Ireland,57,6,Italy,2022
Wales,9,13,France,2022
Italy,22,33,Scotland,2022
England,15,32,Ireland,2022
Wales,21,22,Italy,2022
Ireland,26,5,Scotland,2022
France,25,13,England,2022
France,23,27,Scotland,2021
France,32,30,Wales,2021
Ireland,32,18,England,2021
Scotland,52,10,Italy,2021
Scotland,24,27,Ireland,2021
England,23,20,France,2021
Italy,7,48,Wales,2021
Wales,40,24,England,2021
Italy,10,48,Ireland,2021
Ireland,13,15,France,2021
Scotland,24,25,Wales,2021
England,41,18,Italy,2021
Wales,21,16,Ireland,2021
England,6,11,Scotland,2021
Italy,10,50,France,2021
Italy,5,34,England,2020
Wales,10,14,Scotland,2020
Ireland,50,17,Italy,2020
Scotland,28,17,France,2020
