Team1,Score1,Score2,Team2,Year
England,35,11,Fiji,2015
Wales,54,9,Uruguay,2015
Australia,28,13,Fiji,2015
England,25,28,Wales,2015
Australia,65,3,Uruguay,2015
Wales,23,13,Fiji,2015
England,13,33,Australia,2015
Fiji,47,15,Uruguay,2015
Australia,15,6,Wales,2015
England,60,3,Uruguay,2015
SouthAfrica,32,34,Japan,2015
Samoa,25,16,UnitedStates,2015
Scotland,45,10,Japan,2015
SouthAfrica,46,6,Samoa,2015
Scotland,39,16,UnitedStates,2015
Samoa,5,26,Japan,2015
SouthAfrica,34,16,Scotland,2015
SouthAfrica,64,0,UnitedStates,2015
Samoa,33,36,Scotland,2015
UnitedStates,18,28,Japan,2015
Tonga,10,17,Georgia,2015
NewZealand,26,16,Argentina,2015
NewZealand,58,14,Namibia,2015
Argentina,54,9,Georgia,2015
Tonga,35,21,Namibia,2015
NewZealand,3,10,Georgia,2015
Argentina,45,16,Tonga,2015
Namibia,16,17,Georgia,2015
NewZealand,7,9,Tonga,2015
Argentina,64,19,Namibia,2015
Ireland,50,7,Canada,2015
France,32,10,Italy,2015
France,38,11,Romania,2015
Italy,23,18,Canada,2015
Ireland,44,10,Romania,2015
France,41,18,Canada,2015
Ireland,16,9,Italy,2015
Canada,15,17,Romania,2015
Italy,32,22,Romania,2015
France,9,24,Ireland,2015
SouthAfrica,23,19,Wales,2015
NewZealand,62,13,France,2015
Ireland,20,43,Argentina,2015
Australia,35,34,Scotland,2015
SouthAfrica,18,20,NewZealand,2015
Argentina,15,29,Australia,2015
SouthAfrica,24,13,Argentina,2015
NewZealand,34,17,Australia,2015
